month,count
2019-01,63
2019-02,66
2019-03,66
2019-04,49
2019-05,51
2019-06,80
2019-07,75
2019-08,55
2019-09,59
2019-10,77
2019-11,60
2019-12,60
2020-01,73
2020-02,69
2020-03,74
2020-04,71
2020-05,71
2020-06,65
2020-07,67
2020-08,59
2020-09,80
2020-10,86
2020-11,88
2020-12,66
2021-01,107
2021-02,95
2021-03,92
2021-04,90
2021-05,79
2021-06,84
2021-07,97
2021-08,73
2021-09,70
2021-10,84
2021-11,79
2021-12,78
2022-01,89
2022-02,94
2022-03,98
2022-04,88
2022-05,87
2022-06,91
2022-07,85
2022-08,96
2022-09,80
2022-10,94
2022-11,90
2022-12,94
2023-01,110
2023-02,97
2023-03,124
2023-04,85
2023-05,96
2023-06,110
2023-07,81
2023-08,90
2023-09,85
2023-10,95
2023-11,99
2023-12,59
2024-01,122
2024-02,101
2024-03,89
2024-04,96
2024-05,97
2024-06,123
2024-07,101
2024-08,85
2024-09,103
2024-10,109
2024-11,102
2024-12,94
