UlykkeDato,FartøyNavn,UlykkeType,Breddegrad,Lengdegrad,AntallDød,AntallSkadet
2024-10-16 11:00:00,J.BERGVOLL,Arbeidsulykke/Personulykke,70.83332999999999,20.83333,0.0,1.0
2024-12-10 02:00:00,RO SENJA,Hardtværskade,70.85,23.866664999999998,,
2024-12-11 23:00:00,TROLLTIND EXPERIENCE,Hardtværskade,69.63333,18.95,,
2024-09-02 18:15:00,SKJONGHOLM,Arbeidsulykke/Personulykke,61.216665,-1.25,0.0,1.0
2024-12-09 09:50:00,FRØYLIN,Miljøskade/Forurensing,68.666665,17.116664999999998,,
2024-12-11 23:55:00,AKSEL JOHAN,Hardtværskade,69.63333,18.95,,
2024-12-12 02:00:00,HAVILA CAPELLA,Hardtværskade,70.96666499999999,25.966665,,
2024-12-11 19:40:00,VARDEHORN,Maskinhavari,66.18333,12.999999999999998,,
2024-12-11 13:34:00,ANTARCTIC ENDURANCE,Brann/Eksplosjon,-64.38333,-61.733329999999995,,
2024-12-03 20:02:00,ROSEFLORA,Maskinhavari,61.93333,5.116664999999999,,
2024-12-10 10:52:00,LANGØY,Arbeidsulykke/Personulykke,70.29999999999998,17.266665,0.0,1.0
2024-12-11 00:00:00,WILSON GDANSK,"Kontaktskade, Kaier, Broer etc",52.24999999999999,-7.899999999999999,,
2024-12-11 06:05:00,HUSØY,Annen ulykke,66.46666499999999,12.249999999999998,,
2024-12-08 21:40:00,FJORDTIND,Annen ulykke,67.19999999999999,14.149999999999999,,
2024-12-08 00:00:00,NORSEL,Arbeidsulykke/Personulykke,62.866665,7.133329999999999,0.0,1.0
2024-12-10 18:50:00,EIDSFJORD,"Kontaktskade, Kaier, Broer etc",61.83333,6.0666649999999995,,
2024-12-10 16:00:00,POLYNYA,Maskinhavari,66.95,13.499999999999998,,
2024-12-07 10:00:00,BRE,"Kontaktskade, Kaier, Broer etc",69.63333,18.95,,
2024-12-03 22:00:00,SEGLA,Arbeidsulykke/Personulykke,69.76666499999999,16.666665,0.0,1.0
2024-11-26 16:30:00,SUNDERØY,Arbeidsulykke/Personulykke,74.99999999999999,40.0,0.0,1.0
2024-12-06 22:44:00,AQS MARINE,Miljøskade/Forurensing,70.64999999999999,23.666665,,
